0,all cars are a type of vehicle 
1,nothing that is a soda is a juice 
2,everything that is a planet is a celestial body 
3,every cat is an invisible creature 
4,there are no capital cities which are oceans 
5,every city is a location 
6,no star is a meteor 
7,every single cat is an animal 
8,there are no mammals that are animals 
9,anything that is a bird is an animal 
10,there exist students that are adults 
11,plants are in no way living organisms 
12,every single car is a vehicle 
13,every single animal that is a spider is a creature with eight legs 
14,some mammals are dogs 
15,every insect is an animal 
16,every single gecko is a type of lizard 
17,it is not the case that every human is a male 
18,it is true that no building is a vehicle 
19,anything that is an elephant is also a four legged animal 
20,there are no books that are made of paper 
21,no giant balls of gas are stars 
22,it is true that no fish live in the sea 
23,it is not true that any tree is green 
24,there are no rocks that are objects 
25,there are some planets that are dogs 
26,some fish are penguins 
27,it is true that all newspapers are animals 
28,any person who is a doctor is a cloud 
29,it is true that no fish is a swimmer 
30,every single creature that is an animal with fins is a fish 
31,there are some animals that are mammals 
32,anything that is a feline is a mammal 
33,every single triangle is a polygon 
34,every single person who is an animal is a living thing 
35,there are no dogs that are cats 
36,any object that is a building is also a structure 
37,some clouds are houses 
38,not a single creature that is a retriever is a dog 
39,every single square is a polygon 
40,some things that are potatoes are not living things 
41,it is true that all fish live in water 
42,every fictional characters is a stone 
43,an insect is never an arachnid 
44,it is not true that any dog is an animal 
45,there are no tables that are living things 
46,written works are in no way items with printed pages 
47,anything that is a plant with thorns is not a flower 
48,any celestial body which is a planet is a cube 
49,every square is a shape that is also a rectangle 
50,there is not a single tree that is a shrub 
51,any person who is a human is a robot 
52,anything that is an apple is not a citrus fruit 
53,lions are not gazelles 
54,every single idea is a tree 
55,anything that is cutlery is furniture 
56,every single mammal is an animal 
57,nothing that is a canine is a cat 
58,some animal that is a reptile is not an amphibian 
59,every single hammer is a tool 
60,no single plant is a tree 
61,anything that is a animal is an idea 
62,anything that is a bicycle is a vehicle 
63,anything that is a star is a spoon 
64,anything that is a fruit is a feeling 
65,every single animal is a living thing 
66,there are some creatures that are animals and not vertebrates 
67,any fire is frozen 
68,it is completely false that any creature which is a bird is a fish 
69,there are no triangles which are squares 
70,there are no clouds that are rocks 
71,anything that is a mammal is an animal 
72,all things which are numbers are animals 
73,no books are buildings 
74,the set of automobiles and the set of self propelled vehicles are entirely separate 
75,there are no lions which are herbivores 
76,there are no parrots which are mammals 
77,every doctor is a professional 
78,every tiger is a feline 
79,it is not the case that every single scientist is an engineer 
80,there are some reptile that are animals 
81,anything that is a bird is an animal 
82,anything and everything that is a satellite is a moon 
83,there are no animals that are fish that have beaks 
84,there are some scientists who are engineers 
85,a certain number of cars are vehicles 
86,any fruit is a food 
87,not a single person who is a doctor is also an engineer 
88,it is the case that no circles are round shapes 
89,it is true that no cats are dogs 
90,all houses are structures 
91,anything that is a person is made of wood 
92,every single dog is a mammal 
93,things that are thoughts are not electrical signals in the brain 
94,it is the case that every single book weighs a ton 
95,there are no hard workers who are also lazy people 
96,not a single land dwelling amphibian is able to survive in saltwater 
97,every single fruit is a thing that grows on trees 
98,every airplane is a cloud 
99,every single building is made of candy 
100,there are no vegetables that are fruits 
101,anything that is a vehicle is also a machine 
102,there are no universities which are plants 
103,it is true that some students are athletes 
104,nothing that can be considered a celestial body is an object that orbits a star 
105,every object that is a table is a type of furniture 
106,it is the case that no ghost is immortal 
107,anything that is a bird is not an animal 
108,reptiles are a class of animal which does not contain any amphibians 
109,there are no objects that are both tools and have handles 
110,the group of continents and the group of countries are mutually exclusive 
111,not a single human is a tree 
112,there is no mammal that is a shark 
113,there are some band members who are singers 
114,every single bird is an animal 
115,among the people who are scientists there are some who are also programmers 
116,every bird is a fish 
117,there are no shirts which are vegetables 
118,every single house is a building 
119,the set of humans is a subset of the set of mortals 
120,every star is a luminous celestial body 
121,chairs are in no way furniture 
122,some item that is an animal is not a mammal 
123,all of the things that are lions are felines 
124,it is impossible for a spider to be a bird 
125,each bird is a vertebrate 
126,there are some capitals that are polluted 
127,there are some tables that are happiness 
128,anything that is a puppy is venomous 
129,there are some creatures that are mammals and also animals 
130,no vegetable is a type of meat 
131,it is a fact that all mammals are animate objects 
132,it is the case that no insect is a mammal 
133,every object that is a car has an engine 
134,it is true that anything that is an apple is an edible thing 
135,there exist some things which are rivers that are not oceans 
136,every bird is an animal 
137,hammers are items that are tools 
138,all things which are ghosts are scientific facts 
139,every object that is a flower is an animal 
140,it is not true that any stationery item can be used for writing 
141,every single apple is a vegetable 
